LineName,ConductorName,Voltage_kV,Ta,WindVelocity,WindAngleDeg,SunTime,Date,Emissivity,Absorptivity,Direction,Atmosphere,Elevation,Latitude,Rating_Amps,Rating_MVA
ALOHA138 (1)  TO  HONOLULU138 (5) CKT 1,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,945.2427202611653,225.93476154281961
ALOHA138 (1)  TO  HONOLULU138 (5) CKT 2,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,945.2427202611653,225.93476154281961
ALOHA138 (1)  TO  WAIPAHU138 (22) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,180.0671863856981
ALOHA138 (1)  TO  EWA BEACH138 (25) CKT 1,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,945.2427202611653,225.93476154281961
ALOHA138 (1)  TO  EWA BEACH138 (25) CKT 2,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,945.2427202611653,225.93476154281961
ALOHA138 (1)  TO  KALAELOA138 (35) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,1223.8468633575424,292.5275628266315
ALOHA138 (1)  TO  KALAELOA138 (35) CKT 2,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,1223.8468633575424,292.5275628266315
HONOLULU138 (5)  TO  TURTLE138 (9) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,180.0671863856981
HONOLULU138 (5)  TO  KAILUA138 (14) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,180.0671863856981
TURTLE138 (9)  TO  KAILUA138 (14) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,180.0671863856981
WAIPAHU138 (22)  TO  EWA BEACH138 (25) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,1223.8468633575424,292.5275628266315
WAIPAHU138 (22)  TO  KAHE138 (37) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,1223.8468633575424,292.5275628266315
EWA BEACH138 (25)  TO  KALAELOA138 (35) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,180.0671863856981
EWA BEACH138 (25)  TO  KALAELOA138 (35) CKT 2,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,180.0671863856981
EWA BEACH138 (25)  TO  KAHE138 (37) CKT 1,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,945.2427202611653,225.93476154281961
EWA BEACH138 (25)  TO  KAHE138 (37) CKT 2,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,945.2427202611653,225.93476154281961
KALAELOA138 (35)  TO  KAHE138 (37) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,1223.8468633575424,292.5275628266315
ALOHA69 (2)  TO  WAVE69 (4) CKT 1,336.4 ACSR 30/7 ORIOLE,69.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,552.5043105780529,66.03062207521815
ALOHA69 (2)  TO  HONOLULU69 (6) CKT 1,336.4 ACSR 30/7 ORIOLE,69.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,552.5043105780529,66.03062207521815
ALOHA69 (2)  TO  HONOLULU69 (6) CKT 2,336.4 ACSR 30/7 ORIOLE,69.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,552.5043105780529,66.03062207521815
ALOHA69 (2)  TO  SURF69 (7) CKT 1,336.4 ACSR 30/7 ORIOLE,69.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,552.5043105780529,66.03062207521815
ALOHA69 (2)  TO  AIEA69 (21) CKT 1,556.5 ACSR 26/7 DOVE,69.0,25,2.0,90,12,12 Jun,1.0,0.8,EastWest,Clear,1000,27,753.3466560289952,90.03359319284905
